catalog_id,source_file,web_file,media_type,subject,service_context,room_or_area,city,state,country,creator,credit_line,copyright_notice,rights_usage_terms,permission_status,client_or_people_approval,usage_scope,page_assignment,alt_text,caption,keywords,status,notes
AUD-0014,MEDIA/AUDIO/sabrina.wav,,audio,sabrina,,,,,,,,,,unverified,not-applicable,public-website,,,,,pending-human-approval,
AUD-0015,MEDIA/AUDIO/save-you-master-1.mp3,,audio,save you master 1,,,,,,,,,,unverified,not-applicable,public-website,,,,,pending-human-approval,
AUD-0016,MEDIA/AUDIO/sheistytypebeat-mix-inst-master.wav,,audio,sheistytypebeat mix inst master,,,,,,,,,,unverified,not-applicable,public-website,,,,,pending-human-approval,
AUD-0017,MEDIA/AUDIO/sheistytypebeat-vox-2-master.wav,,audio,sheistytypebeat vox 2 master,,,,,,,,,,unverified,not-applicable,public-website,,,,,pending-human-approval,
AUD-0018,MEDIA/AUDIO/solo-ft-yung-gualli.mp3,,audio,solo ft yung gualli,,,,,,,,,,unverified,not-applicable,public-website,,,,,pending-human-approval,
AUD-0019,MEDIA/AUDIO/untagged-master.mp3,,audio,untagged master,,,,,,,,,,unverified,not-applicable,public-website,,,,,pending-human-approval,
AUD-0020,MEDIA/AUDIO/up-next5.wav,,audio,up next5,,,,,,,,,,unverified,not-applicable,public-website,,,,,pending-human-approval,
IMG-0001,MEDIA/IMAGES/studio-b-drum-recording-setup-view-01.jpg,MEDIA/IMAGES/studio-b-drum-recording-setup-view-01.webp,image,a close up shot of a blue drum kit with microphones set up for recording,band recording,,,,,Checkmark Audio staff,Checkmark Audio,© Checkmark Audio. All rights reserved.,Owned by Checkmark Audio; approved for public-website use.,verified,not-applicable,public-website,studio-b,Drum kit set up for recording in Studio B at Checkmark Audio.,,band recording,pending-human-approval,Page assignment is proposed from visible subject/filename and is not publication approval. Original source archived outside the repo in checkmark-audio-media-originals-2026-08-07.zip (Bridget's Desktop); only the optimized web copy remains in MEDIA/IMAGES. Draft alt text generated from the SEO filename/visual content; confirm against real page context before publishing.
IMG-0002,MEDIA/IMAGES/acoustic-guitar-front-product-photo.jpg,MEDIA/IMAGES/acoustic-guitar-front-product-photo.webp,image,acoustic guitar front product photo,,,,,,Checkmark Audio staff,Checkmark Audio,© Checkmark Audio. All rights reserved.,Owned by Checkmark Audio; approved for public-website use.,verified,not-applicable,public-website,studio-a,Acoustic guitar product photo.,,,pending-human-approval,Page assignment is proposed from visible subject/filename and is not publication approval. Original source archived outside the repo in checkmark-audio-media-originals-2026-08-07.zip (Bridget's Desktop); only the optimized web copy remains in MEDIA/IMAGES. Draft alt text generated from the SEO filename/visual content; confirm against real page context before publishing.
IMG-0003,MEDIA/IMAGES/acoustic-guitar-horizontal-banner.avif,MEDIA/IMAGES/acoustic-guitar-horizontal-banner.avif,image,acoustic guitar horizontal banner,,,,,,Checkmark Audio staff,Checkmark Audio,© Checkmark Audio. All rights reserved.,Owned by Checkmark Audio; approved for public-website use.,verified,not-applicable,public-website,studio-a,Acoustic guitar banner image.,,,pending-human-approval,Page assignment is proposed from visible subject/filename and is not publication approval. Draft alt text generated from the SEO filename/visual content; confirm against real page context before publishing.
IMG-0004,MEDIA/IMAGES/acoustic-guitar-horizontal-studio-product-photo.jpeg,MEDIA/IMAGES/acoustic-guitar-horizontal-studio-product-photo.webp,image,acoustic guitar horizontal studio product photo,recording studio,,,,,Checkmark Audio staff,Checkmark Audio,© Checkmark Audio. All rights reserved.,Owned by Checkmark Audio; approved for public-website use.,verified,not-applicable,public-website,studio-a,Acoustic guitar product photo.,,recording studio,pending-human-approval,Page assignment is proposed from visible subject/filename and is not publication approval. Original source archived outside the repo in checkmark-audio-media-originals-2026-08-07.zip (Bridget's Desktop); only the optimized web copy remains in MEDIA/IMAGES. Draft alt text generated from the SEO filename/visual content; confirm against real page context before publishing.
IMG-0005,MEDIA/IMAGES/acoustic-guitar-standing-studio-product-photo.jpg,MEDIA/IMAGES/acoustic-guitar-standing-studio-product-photo.webp,image,acoustic guitar standing studio product photo,recording studio,,,,,Checkmark Audio staff,Checkmark Audio,© Checkmark Audio. All rights reserved.,Owned by Checkmark Audio; approved for public-website use.,verified,not-applicable,public-website,studio-a,Acoustic guitar product photo.,,recording studio,pending-human-approval,Page assignment is proposed from visible subject/filename and is not publication approval. Original source archived outside the repo in checkmark-audio-media-originals-2026-08-07.zip (Bridget's Desktop); only the optimized web copy remains in MEDIA/IMAGES. Draft alt text generated from the SEO filename/visual content; confirm against real page context before publishing.
IMG-0006,MEDIA/IMAGES/acoustic-guitar-standing-studio-product-photo.png,MEDIA/IMAGES/acoustic-guitar-standing-studio-product-photo.webp,image,acoustic guitar standing studio product photo,recording studio,,,,,Checkmark Audio staff,Checkmark Audio,© Checkmark Audio. All rights reserved.,Owned by Checkmark Audio; approved for public-website use.,verified,not-applicable,public-website,studio-a,Acoustic guitar product photo.,,recording studio,pending-human-approval,Page assignment is proposed from visible subject/filename and is not publication approval. Draft alt text generated from the SEO filename/visual content; confirm against real page context before publishing.
IMG-0007,MEDIA/IMAGES/acoustic-guitar-website-banner.jpg,MEDIA/IMAGES/acoustic-guitar-website-banner.webp,image,acoustic guitar website banner,,,,,,Checkmark Audio staff,Checkmark Audio,© Checkmark Audio. All rights reserved.,Owned by Checkmark Audio; approved for public-website use.,verified,not-applicable,public-website,studio-a,Acoustic guitar banner image.,,,pending-human-approval,Page assignment is proposed from visible subject/filename and is not publication approval. Original source archived outside the repo in checkmark-audio-media-originals-2026-08-07.zip (Bridget's Desktop); only the optimized web copy remains in MEDIA/IMAGES. Draft alt text generated from the SEO filename/visual content; confirm against real page context before publishing.
IMG-0010,MEDIA/IMAGES/vocal-booth-microphone-red-light-view-01.jpg,MEDIA/IMAGES/vocal-booth-microphone-red-light-view-01.webp,image,albuquerque music recording studio b vocal booth red,vocal recording,Studio B,,,,Checkmark Audio staff,Checkmark Audio,© Checkmark Audio. All rights reserved.,Owned by Checkmark Audio; approved for public-website use.,verified,not-applicable,public-website,studio-b,Studio microphone in the vocal booth lit in red stage lighting at Checkmark Audio.,,vocal recording; Studio B,pending-human-approval,Page assignment is proposed from visible subject/filename and is not publication approval. Original source archived outside the repo in checkmark-audio-media-originals-2026-08-07.zip (Bridget's Desktop); only the optimized web copy remains in MEDIA/IMAGES. Draft alt text generated from the SEO filename/visual content; confirm against real page context before publishing.
IMG-0011,MEDIA/IMAGES/vocal-booth-microphone-green-light-view-08.jpg,MEDIA/IMAGES/vocal-booth-microphone-green-light-view-08.webp,image,albuquerque music recording studio b vocal booth,vocal recording,Studio B,,,,Checkmark Audio staff,Checkmark Audio,© Checkmark Audio. All rights reserved.,Owned by Checkmark Audio; approved for public-website use.,verified,not-applicable,public-website,studio-b,Studio microphone in the vocal booth lit in green stage lighting at Checkmark Audio.,,vocal recording; Studio B,pending-human-approval,Page assignment is proposed from visible subject/filename and is not publication approval. Original source archived outside the repo in checkmark-audio-media-originals-2026-08-07.zip (Bridget's Desktop); only the optimized web copy remains in MEDIA/IMAGES. Draft alt text generated from the SEO filename/visual content; confirm against real page context before publishing.
IMG-0013,MEDIA/IMAGES/male-artist-looking-up-studio-portrait-view-01.jpg,MEDIA/IMAGES/male-artist-looking-up-studio-portrait-view-01.webp,image,albuquerque music studio checkmark audio studio b david posing in front of picture,recording studio,Studio B,,,,Checkmark Audio staff,Checkmark Audio,© Checkmark Audio. All rights reserved.,Owned by Checkmark Audio; approved for public-website use.,verified,approved,public-website,artist-photography,"Studio portrait of a male artist against acoustic panels, looking upward.",,recording studio; Studio B,pending-human-approval,Page assignment is proposed from visible subject/filename and is not publication approval. Original source archived outside the repo in checkmark-audio-media-originals-2026-08-07.zip (Bridget's Desktop); only the optimized web copy remains in MEDIA/IMAGES. Draft alt text generated from the SEO filename/visual content; confirm against real page context before publishing.
IMG-0014,MEDIA/IMAGES/albuquerque-music-studio-gear-rack.jpg,MEDIA/IMAGES/albuquerque-music-studio-gear-rack.webp,image,albuquerque music studio gear rack,recording studio,,,,,Checkmark Audio staff,Checkmark Audio,© Checkmark Audio. All rights reserved.,Owned by Checkmark Audio; approved for public-website use.,verified,not-applicable,public-website,studio-a,Studio gear rack at Checkmark Audio.,,recording studio,pending-human-approval,Page assignment is proposed from visible subject/filename and is not publication approval. Original source archived outside the repo in checkmark-audio-media-originals-2026-08-07.zip (Bridget's Desktop); only the optimized web copy remains in MEDIA/IMAGES. Draft alt text generated from the SEO filename/visual content; confirm against real page context before publishing.
IMG-0018,MEDIA/IMAGES/checkmark-audio-lounge-sign-view-01.jpg,MEDIA/IMAGES/checkmark-audio-lounge-sign-view-01.webp,image,albuquerque music studio waiting room,recording studio,Waiting area / lounge,,,,Checkmark Audio staff,Checkmark Audio,© Checkmark Audio. All rights reserved.,Owned by Checkmark Audio; approved for public-website use.,verified,not-applicable,public-website,studio-a,"""Moonlight"" neon sign in the Checkmark Audio lounge.",,recording studio; Waiting area / lounge,pending-human-approval,Page assignment is proposed from visible subject/filename and is not publication approval. Original source archived outside the repo in checkmark-audio-media-originals-2026-08-07.zip (Bridget's Desktop); only the optimized web copy remains in MEDIA/IMAGES. Draft alt text generated from the SEO filename/visual content; confirm against real page context before publishing.
IMG-0019,MEDIA/IMAGES/albuquerque-new-mexico-music-studio-recording-checkmark-sign.jpg,MEDIA/IMAGES/albuquerque-new-mexico-music-studio-recording-checkmark-sign.webp,image,albuquerque new mexico music studio recording checkmark sign,recording studio,,Albuquerque,NM,USA,Checkmark Audio staff,Checkmark Audio,© Checkmark Audio. All rights reserved.,Owned by Checkmark Audio; approved for public-website use.,verified,not-applicable,public-website,studio-a,Checkmark Audio recording studio sign.,,recording studio; Albuquerque NM,pending-human-approval,Page assignment is proposed from visible subject/filename and is not publication approval. Original source archived outside the repo in checkmark-audio-media-originals-2026-08-07.zip (Bridget's Desktop); only the optimized web copy remains in MEDIA/IMAGES. Draft alt text generated from the SEO filename/visual content; confirm against real page context before publishing.
IMG-0022,MEDIA/IMAGES/gavin-hammond-studio-console-portrait-view-01.jpg,MEDIA/IMAGES/gavin-hammond-studio-console-portrait-view-01.webp,image,albuquerque recording music studio checkmarkaudio gavin profile pic,recording studio,,,,,Checkmark Audio staff,Checkmark Audio,© Checkmark Audio. All rights reserved.,Owned by Checkmark Audio; approved for public-website use.,verified,approved,public-website,our-team,Gavin Hammond at the studio console at Checkmark Audio.,,recording studio,pending-human-approval,Page assignment is proposed from visible subject/filename and is not publication approval. Original source archived outside the repo in checkmark-audio-media-originals-2026-08-07.zip (Bridget's Desktop); only the optimized web copy remains in MEDIA/IMAGES. Draft alt text generated from the SEO filename/visual content; confirm against real page context before publishing.
IMG-0023,MEDIA/IMAGES/albuquerque-recording-studio-engineer-and-clients.jpg,MEDIA/IMAGES/GALLERY/albuquerque-recording-studio-engineer-and-clients.webp,image,albuquerque recording studio engineer and clients,recording studio,,,,,Checkmark Audio staff,Checkmark Audio,© Checkmark Audio. All rights reserved.,Owned by Checkmark Audio; approved for public-website use.,verified,approved,public-website,gallery,Engineer working with clients at Checkmark Audio.,,recording studio,pending-human-approval,Page assignment is proposed from visible subject/filename and is not publication approval. Original source archived outside the repo in checkmark-audio-media-originals-2026-08-07.zip (Bridget's Desktop); only the optimized web copy remains in MEDIA/IMAGES. Draft alt text generated from the SEO filename/visual content; confirm against real page context before publishing.
IMG-0025,MEDIA/IMAGES/albuquerque-recording-studio-engineer-and-clients3-view-02.jpg,MEDIA/IMAGES/GALLERY/albuquerque-recording-studio-engineer-and-clients3-view-02.webp,image,albuquerque recording studio engineer and clients3 view 02,recording studio,,,,,Checkmark Audio staff,Checkmark Audio,© Checkmark Audio. All rights reserved.,Owned by Checkmark Audio; approved for public-website use.,verified,approved,public-website,gallery,Engineer working with clients at Checkmark Audio.,,recording studio,pending-human-approval,Page assignment is proposed from visible subject/filename and is not publication approval. Original source archived outside the repo in checkmark-audio-media-originals-2026-08-07.zip (Bridget's Desktop); only the optimized web copy remains in MEDIA/IMAGES. Draft alt text generated from the SEO filename/visual content; confirm against real page context before publishing.
IMG-0026,MEDIA/IMAGES/albuquerque-recording-studio-engineer-and-clients3.jpg,MEDIA/IMAGES/GALLERY/albuquerque-recording-studio-engineer-and-clients3.webp,image,albuquerque recording studio engineer and clients3,recording studio,,,,,Checkmark Audio staff,Checkmark Audio,© Checkmark Audio. All rights reserved.,Owned by Checkmark Audio; approved for public-website use.,verified,approved,public-website,gallery,Engineer working with clients at Checkmark Audio.,,recording studio,pending-human-approval,Page assignment is proposed from visible subject/filename and is not publication approval. Original source archived outside the repo in checkmark-audio-media-originals-2026-08-07.zip (Bridget's Desktop); only the optimized web copy remains in MEDIA/IMAGES. Draft alt text generated from the SEO filename/visual content; confirm against real page context before publishing.
IMG-0027,MEDIA/IMAGES/antoine-album-cover-1.jpg,MEDIA/IMAGES/antoine-album-cover-1.webp,image,antoine album cover 1,,,,,,Antoine,Courtesy of Antoine,© Antoine. Used with permission.,Property of Antoine; used with the artist's permission for Checkmark Audio promotional/website purposes.,verified,approved,public-website,artist-promotion,Antoine's album cover artwork.,,,pending-human-approval,"Page assignment is proposed from visible subject/filename and is not publication approval. Original source archived outside the repo in checkmark-audio-media-originals-2026-08-07.zip (Bridget's Desktop); only the optimized web copy remains in MEDIA/IMAGES. Draft alt text generated from the SEO filename/visual content; confirm against real page context before publishing. Creator credit needs research (likely shot off-site or band-supplied artwork); not yet confirmed. Confirmed by Gavin 2026-08-08: artist-supplied material, usable as originally discussed when sent to Checkmark Audio."
IMG-0028,MEDIA/IMAGES/antoine-album-cover-3.jpg,MEDIA/IMAGES/antoine-album-cover-3.webp,image,antoine album cover 3,,,,,,Antoine,Courtesy of Antoine,© Antoine. Used with permission.,Property of Antoine; used with the artist's permission for Checkmark Audio promotional/website purposes.,verified,approved,public-website,artist-promotion,Antoine's album cover artwork.,,,pending-human-approval,"Page assignment is proposed from visible subject/filename and is not publication approval. Original source archived outside the repo in checkmark-audio-media-originals-2026-08-07.zip (Bridget's Desktop); only the optimized web copy remains in MEDIA/IMAGES. Draft alt text generated from the SEO filename/visual content; confirm against real page context before publishing. Creator credit needs research (likely shot off-site or band-supplied artwork); not yet confirmed. Confirmed by Gavin 2026-08-08: artist-supplied material, usable as originally discussed when sent to Checkmark Audio."
IMG-0029,MEDIA/IMAGES/antoine-electric-guitarist-action-portrait.jpg,MEDIA/IMAGES/antoine-electric-guitarist-action-portrait.webp,image,antoine electric guitarist action portrait,,,,,,Checkmark Audio staff,Checkmark Audio,© Checkmark Audio. All rights reserved.,Owned by Checkmark Audio; approved for public-website use.,verified,approved,public-website,artist-photography,Antoine performing on electric guitar.,,,pending-human-approval,Page assignment is proposed from visible subject/filename and is not publication approval. Original source archived outside the repo in checkmark-audio-media-originals-2026-08-07.zip (Bridget's Desktop); only the optimized web copy remains in MEDIA/IMAGES. Draft alt text generated from the SEO filename/visual content; confirm against real page context before publishing.
IMG-0030,MEDIA/IMAGES/antoine-electric-guitarist-standing-cutout.png,MEDIA/IMAGES/antoine-electric-guitarist-standing-cutout.webp,image,antoine electric guitarist standing cutout,,,,,,Checkmark Audio staff,Checkmark Audio,© Checkmark Audio. All rights reserved.,Owned by Checkmark Audio; approved for public-website use.,verified,approved,public-website,artist-photography,Cutout portrait of Antoine with an electric guitar.,,,pending-human-approval,Page assignment is proposed from visible subject/filename and is not publication approval. Original source archived outside the repo in checkmark-audio-media-originals-2026-08-07.zip (Bridget's Desktop); only the optimized web copy remains in MEDIA/IMAGES. Draft alt text generated from the SEO filename/visual content; confirm against real page context before publishing.
IMG-0031,MEDIA/IMAGES/antoine-musician-interview-headshot.jpeg,MEDIA/IMAGES/antoine-musician-interview-headshot.webp,image,antoine musician interview headshot,,,,,,Checkmark Audio staff,Checkmark Audio,© Checkmark Audio. All rights reserved.,Owned by Checkmark Audio; approved for public-website use.,verified,approved,public-website,artist-photography,Headshot of Antoine from a recorded interview.,,,pending-human-approval,Page assignment is proposed from visible subject/filename and is not publication approval. Original source archived outside the repo in checkmark-audio-media-originals-2026-08-07.zip (Bridget's Desktop); only the optimized web copy remains in MEDIA/IMAGES. Draft alt text generated from the SEO filename/visual content; confirm against real page context before publishing.
IMG-0032,MEDIA/IMAGES/antoine-seated-electric-guitarist-cutout.png,MEDIA/IMAGES/antoine-seated-electric-guitarist-cutout.webp,image,antoine seated electric guitarist cutout,,,,,,Checkmark Audio staff,Checkmark Audio,© Checkmark Audio. All rights reserved.,Owned by Checkmark Audio; approved for public-website use.,verified,approved,public-website,artist-photography,Cutout portrait of Antoine with an electric guitar.,,,pending-human-approval,Page assignment is proposed from visible subject/filename and is not publication approval. Original source archived outside the repo in checkmark-audio-media-originals-2026-08-07.zip (Bridget's Desktop); only the optimized web copy remains in MEDIA/IMAGES. Draft alt text generated from the SEO filename/visual content; confirm against real page context before publishing.
IMG-0033,MEDIA/IMAGES/antoine-singer-vocal-recording-performance.png,MEDIA/IMAGES/antoine-singer-vocal-recording-performance.webp,image,antoine singer vocal recording performance,vocal recording,,,,,Checkmark Audio staff,Checkmark Audio,© Checkmark Audio. All rights reserved.,Owned by Checkmark Audio; approved for public-website use.,verified,approved,public-website,artist-photography,Antoine performing a vocal recording take.,,vocal recording,pending-human-approval,Page assignment is proposed from visible subject/filename and is not publication approval. Original source archived outside the repo in checkmark-audio-media-originals-2026-08-07.zip (Bridget's Desktop); only the optimized web copy remains in MEDIA/IMAGES. Draft alt text generated from the SEO filename/visual content; confirm against real page context before publishing.
IMG-0034,MEDIA/IMAGES/antoine-songwriter-writing-lyrics.jpg,MEDIA/IMAGES/antoine-songwriter-writing-lyrics.webp,image,antoine songwriter writing lyrics,,,,,,Checkmark Audio staff,Checkmark Audio,© Checkmark Audio. All rights reserved.,Owned by Checkmark Audio; approved for public-website use.,verified,approved,public-website,artist-photography,Antoine writing song lyrics.,,,pending-human-approval,Page assignment is proposed from visible subject/filename and is not publication approval. Original source archived outside the repo in checkmark-audio-media-originals-2026-08-07.zip (Bridget's Desktop); only the optimized web copy remains in MEDIA/IMAGES. Draft alt text generated from the SEO filename/visual content; confirm against real page context before publishing.
IMG-0035,MEDIA/IMAGES/artist-black-and-white-headshot.jpg,MEDIA/IMAGES/artist-black-and-white-headshot.webp,image,artist black and white headshot,,,,,,Checkmark Audio staff,Checkmark Audio,© Checkmark Audio. All rights reserved.,Owned by Checkmark Audio; approved for public-website use.,verified,approved,public-website,artist-photography,Studio headshot portrait of an artist.,,,pending-human-approval,Page assignment is proposed from visible subject/filename and is not publication approval. Original source archived outside the repo in checkmark-audio-media-originals-2026-08-07.zip (Bridget's Desktop); only the optimized web copy remains in MEDIA/IMAGES. Draft alt text generated from the SEO filename/visual content; confirm against real page context before publishing.
IMG-0039,MEDIA/IMAGES/artist-cafe-diego-footer-picture-4.jpeg,MEDIA/IMAGES/artist-cafe-diego-footer-picture-4-jpeg.webp,image,artist cafe diego footer picture 4,,,,,,Diego,Courtesy of Diego,© Diego. Used with permission.,Property of Diego; used with the artist's permission for Checkmark Audio promotional/website purposes.,verified,approved,public-website,artist-promotion,Artist photo featured in Checkmark Audio's artist gallery footer.,,,pending-human-approval,"Page assignment is proposed from visible subject/filename and is not publication approval. Original source archived outside the repo in checkmark-audio-media-originals-2026-08-07.zip (Bridget's Desktop); only the optimized web copy remains in MEDIA/IMAGES. Draft alt text generated from the SEO filename/visual content; confirm against real page context before publishing. Creator credit needs research (likely shot off-site or band-supplied artwork); not yet confirmed. Confirmed by Gavin 2026-08-08: artist-supplied material, usable as originally discussed when sent to Checkmark Audio."
IMG-0040,MEDIA/IMAGES/artist-cafe-diego-footer-picture-4.jpg,MEDIA/IMAGES/artist-cafe-diego-footer-picture-4-jpg.webp,image,artist cafe diego footer picture 4,,,,,,Diego,Courtesy of Diego,© Diego. Used with permission.,Property of Diego; used with the artist's permission for Checkmark Audio promotional/website purposes.,verified,approved,public-website,artist-promotion,Artist photo featured in Checkmark Audio's artist gallery footer.,,,pending-human-approval,"Page assignment is proposed from visible subject/filename and is not publication approval. Original source archived outside the repo in checkmark-audio-media-originals-2026-08-07.zip (Bridget's Desktop); only the optimized web copy remains in MEDIA/IMAGES. Draft alt text generated from the SEO filename/visual content; confirm against real page context before publishing. Creator credit needs research (likely shot off-site or band-supplied artwork); not yet confirmed. Confirmed by Gavin 2026-08-08: artist-supplied material, usable as originally discussed when sent to Checkmark Audio."
IMG-0043,MEDIA/IMAGES/artist-cafe-gregorio-footer-picture-2.jpeg,MEDIA/IMAGES/artist-cafe-gregorio-footer-picture-2-jpeg.webp,image,artist cafe gregorio footer picture 2,,,,,,Gregorio and The Unknown,Courtesy of Gregorio and The Unknown,© Gregorio and The Unknown. Used with permission.,Property of Gregorio and The Unknown; used with the artist's permission for Checkmark Audio promotional/website purposes.,verified,approved,public-website,artist-promotion,Artist photo featured in Checkmark Audio's artist gallery footer.,,,pending-human-approval,"Page assignment is proposed from visible subject/filename and is not publication approval. Original source archived outside the repo in checkmark-audio-media-originals-2026-08-07.zip (Bridget's Desktop); only the optimized web copy remains in MEDIA/IMAGES. Draft alt text generated from the SEO filename/visual content; confirm against real page context before publishing. Creator credit needs research (likely shot off-site or band-supplied artwork); not yet confirmed. Confirmed by Gavin 2026-08-08: artist-supplied material, usable as originally discussed when sent to Checkmark Audio."
IMG-0044,MEDIA/IMAGES/artist-cafe-gregorio-footer-picture-2.jpg,MEDIA/IMAGES/artist-cafe-gregorio-footer-picture-2-jpg.webp,image,artist cafe gregorio footer picture 2,,,,,,Gregorio and The Unknown,Courtesy of Gregorio and The Unknown,© Gregorio and The Unknown. Used with permission.,Property of Gregorio and The Unknown; used with the artist's permission for Checkmark Audio promotional/website purposes.,verified,approved,public-website,artist-promotion,Artist photo featured in Checkmark Audio's artist gallery footer.,,,pending-human-approval,"Page assignment is proposed from visible subject/filename and is not publication approval. Original source archived outside the repo in checkmark-audio-media-originals-2026-08-07.zip (Bridget's Desktop); only the optimized web copy remains in MEDIA/IMAGES. Draft alt text generated from the SEO filename/visual content; confirm against real page context before publishing. Creator credit needs research (likely shot off-site or band-supplied artwork); not yet confirmed. Confirmed by Gavin 2026-08-08: artist-supplied material, usable as originally discussed when sent to Checkmark Audio."
IMG-0046,MEDIA/IMAGES/artist-photography-career-graphic-view-02.png,MEDIA/IMAGES/artist-photography-career-graphic-view-02.webp,image,artist photography career graphic view 02,,,,,,Checkmark Audio staff,Checkmark Audio,© Checkmark Audio. All rights reserved.,Owned by Checkmark Audio; approved for public-website use.,verified,approved,public-website,artist-promotion,"""Boost your career with stunning visuals"" artist photography promo graphic.",,,pending-human-approval,Page assignment is proposed from visible subject/filename and is not publication approval. Original source archived outside the repo in checkmark-audio-media-originals-2026-08-07.zip (Bridget's Desktop); only the optimized web copy remains in MEDIA/IMAGES. Draft alt text generated from the SEO filename/visual content; confirm against real page context before publishing.
IMG-0047,MEDIA/IMAGES/artist-photography-career-graphic.png,MEDIA/IMAGES/artist-photography-career-graphic.webp,image,artist photography career graphic,,,,,,Checkmark Audio staff,Checkmark Audio,© Checkmark Audio. All rights reserved.,Owned by Checkmark Audio; approved for public-website use.,verified,approved,public-website,artist-promotion,"""Boost your career with stunning visuals"" artist photography promo graphic.",,,pending-human-approval,Page assignment is proposed from visible subject/filename and is not publication approval. Original source archived outside the repo in checkmark-audio-media-originals-2026-08-07.zip (Bridget's Desktop); only the optimized web copy remains in MEDIA/IMAGES. Draft alt text generated from the SEO filename/visual content; confirm against real page context before publishing.
IMG-0049,MEDIA/IMAGES/male-artist-blue-cap-studio-headshot-view-01.jpg,MEDIA/IMAGES/male-artist-blue-cap-studio-headshot-view-01.webp,image,artist portrait cap view 03,,,,,,Checkmark Audio staff,Checkmark Audio,© Checkmark Audio. All rights reserved.,Owned by Checkmark Audio; approved for public-website use.,verified,approved,public-website,artist-photography,Studio headshot of a male artist wearing a blue cap.,,,pending-human-approval,Page assignment is proposed from visible subject/filename and is not publication approval. Original source archived outside the repo in checkmark-audio-media-originals-2026-08-07.zip (Bridget's Desktop); only the optimized web copy remains in MEDIA/IMAGES. Draft alt text generated from the SEO filename/visual content; confirm against real page context before publishing.
IMG-0050,MEDIA/IMAGES/male-artist-looking-up-studio-portrait-view-02.jpg,MEDIA/IMAGES/male-artist-looking-up-studio-portrait-view-02.webp,image,artist portrait looking up,,,,,,Checkmark Audio staff,Checkmark Audio,© Checkmark Audio. All rights reserved.,Owned by Checkmark Audio; approved for public-website use.,verified,approved,public-website,artist-photography,"Studio portrait of a male artist against acoustic panels, looking upward.",,,pending-human-approval,Page assignment is proposed from visible subject/filename and is not publication approval. Original source archived outside the repo in checkmark-audio-media-originals-2026-08-07.zip (Bridget's Desktop); only the optimized web copy remains in MEDIA/IMAGES. Draft alt text generated from the SEO filename/visual content; confirm against real page context before publishing.
